CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
1,1.1984644427073508,13.103026041662325,1.0,0.0,0.0,14.0,true,0,0,0
2,1.0569601621991753,15.864091112547905,2.0,0.0,0.0,15.0,true,0,0,0
3,0.9383267645677313,13.949368214102796,3.0,0.0,0.0,17.0,true,0,0,0
7,0.9352649829378212,13.770123953484106,7.0,0.0,0.0,17.0,true,0,0,0
9,1.1869090645690366,12.84143774482681,9.0,0.0,0.0,15.0,true,0,0,0
11,0.8834895296918048,19.431353112083855,11.0,0.0,0.0,18.0,true,0,0,0
12,0.883876256058892,16.988438075090905,12.0,0.0,0.0,18.0,true,0,0,0
13,0.957539446100056,10.258701486398278,13.0,0.0,0.0,17.0,true,0,0,0
14,0.8723261451275728,15.186246879990366,14.0,0.0,0.0,19.0,true,0,0,0
17,1.1494430409646355,20.70478843366701,17.0,0.0,0.0,16.0,true,0,0,0
16,0.8847817496043082,13.255630704607015,16.0,0.0,0.0,18.0,true,0,0,0
0,1.0249453803660422,12.452325948799558,0.0,10.0,23.0,38.0,false,2,2,0
21,1.0006802152193361,19.84957997645595,21.0,0.0,0.0,16.0,true,0,0,0
22,0.9541119584451975,12.981072196935802,22.0,0.0,0.0,17.0,true,0,0,0
25,0.9981223036672122,13.356374336031765,25.0,0.0,0.0,16.0,true,0,0,0
24,0.8996102115592706,19.463535055803014,24.0,0.0,0.0,18.0,true,0,0,0
27,0.925835428124261,12.55605091135385,27.0,0.0,0.0,19.0,true,0,0,0
29,0.9417036892015614,15.347354251747108,29.0,0.0,0.0,17.0,true,0,0,0
26,0.7610347301399084,12.657733994646817,26.0,0.0,0.0,21.0,true,0,0,0
28,0.9406582666992596,14.164904048916979,28.0,0.0,0.0,19.0,true,0,0,0
5,1.2466905230483372,17.56390175677868,5.0,8.0,26.0,45.5,false,1,1,0
33,0.9334473954748317,10.489875194317257,33.0,0.0,0.0,17.0,true,0,0,0
6,0.8191623596544428,12.717925916745104,6.0,12.0,29.0,46.0,false,2,2,0
36,0.9749777115581364,14.283294116207822,36.0,0.0,0.0,17.0,true,0,0,0
37,0.9734829441158243,12.782785927754414,37.0,0.0,0.0,17.0,true,0,0,0
38,1.0250479361817317,16.39260682730621,38.0,0.0,0.0,16.0,true,0,0,0
