CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,0.954680184411068,20.02467856320247,0.0,0.0,0.0,17.0,true,0,0,0
1,0.7345575763461416,22.845483443585348,1.0,0.0,0.0,22.0,true,0,0,0
2,0.9367815159249235,15.917640545802247,6.0,0.0,0.0,17.0,true,0,0,0
3,0.9536146098211807,11.234301093026987,9.0,0.0,0.0,17.0,true,0,0,0
4,0.8645336209293355,18.137948215211104,11.0,0.0,0.0,19.0,true,0,0,0
6,1.1299240378119095,19.738413280558966,19.0,0.0,0.0,17.0,true,0,0,0
5,0.8688846998429749,20.87038857907606,18.0,0.0,0.0,19.0,true,0,0,0
7,1.054597593886233,16.90263749221038,26.0,0.0,0.0,15.0,true,0,0,0
8,1.021972454773667,14.09797192487043,27.0,0.0,0.0,16.0,true,0,0,0
9,1.0149787443185923,21.290710782648702,29.0,0.0,0.0,16.0,true,0,0,0
10,1.0967970042961053,20.173923991462082,32.0,0.0,0.0,15.0,true,0,0,0
11,0.9151361112511152,15.182953701058462,34.0,0.0,0.0,18.0,true,0,0,0
12,0.934670365429669,16.30693127545154,38.0,0.0,0.0,17.0,true,0,0,0
13,1.005339519904959,18.65429300215452,41.0,0.0,0.0,16.0,true,0,0,0
14,1.12454778875375,19.697215180534332,46.0,0.0,0.0,14.0,true,0,0,0
15,0.9786201793650668,13.758912813239741,47.0,0.0,0.0,17.0,true,0,0,0
16,1.1141406288529305,27.318224586319687,52.0,0.0,0.0,15.0,true,0,0,0
17,1.0168676181737564,20.541909623082073,53.0,0.0,0.0,16.0,true,0,0,0
18,0.8364070725020698,22.27036829695754,60.0,0.0,0.0,19.0,true,0,0,0
19,0.9450645457582425,18.27751969050071,62.0,0.0,0.0,17.0,true,0,0,0
20,1.1161219153132218,19.289696036738796,63.0,0.0,0.0,16.0,true,0,0,0
21,0.7236538417619602,18.9708382561775,64.0,0.0,0.0,22.0,true,0,0,0
22,1.049388302344717,16.766145563113263,72.0,0.0,0.0,15.0,true,0,0,0
23,1.0740860831795562,20.20435761382236,73.0,0.0,0.0,15.0,true,0,0,0
24,1.0242908116676228,16.57089289414487,75.0,0.0,0.0,16.0,true,0,0,0
