CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,1.0246132576000693,17.984864188604142,4.0,10.0,28.0,43.5,false,2,2,1
1,0.8966582353709723,20.327527323521426,9.0,11.0,43.0,60.0,false,2,2,0
20,0.9451080891917166,25.30676478247745,76.0,0.0,0.0,17.0,true,0,0,0
2,0.8158246776786611,16.331615122140974,10.0,12.0,58.0,93.0,false,2,2,0
3,1.0676329907698832,26.402851540880597,23.0,9.0,36.0,79.5,false,1,1,0
11,0.9624581840833933,19.49161359365417,52.0,10.0,35.0,52.0,false,2,2,0
10,0.8333990994287264,16.309013561954362,51.0,12.0,53.0,71.0,false,2,2,0
4,1.0378265683993932,22.403229049137103,35.0,10.0,46.0,90.5,false,1,1,0
12,0.8809058143796266,20.677753053782936,58.0,11.0,66.0,83.0,false,2,2,0
5,0.9641942597452825,14.594340573356382,39.0,10.0,56.0,103.5,false,1,1,0
37,0.843035974130086,22.271660934494435,133.0,0.0,0.0,19.0,true,0,0,0
6,1.1433606485041483,24.341051403135292,40.0,9.0,79.0,119.5,false,1,1,0
13,1.0868076163085114,14.964492847778754,61.0,9.0,77.0,101.0,false,2,2,0
7,0.8741749156071864,21.929367198805956,42.0,11.0,98.0,150.5,false,1,1,0
14,0.853345905410394,21.844561840708902,63.0,12.0,96.0,130.0,false,2,2,0
15,1.0953289721727908,24.67990111797744,66.0,9.0,117.0,135.0,false,2,2,0
8,1.0202252926428577,21.36424262019456,44.0,10.0,117.0,162.5,false,1,1,0
16,0.8750576990787127,18.092060767319225,69.0,11.0,132.0,150.0,false,2,2,0
9,0.9097414942588972,19.955620504688245,45.0,11.0,135.0,185.5,false,1,1,0
21,1.0648377079662603,15.809512148354983,77.0,9.0,118.0,161.5,false,1,1,0
17,0.9414708463610604,17.27682348320268,71.0,11.0,147.0,169.0,false,2,2,0
22,0.9827658294282076,21.831374837647473,79.0,10.0,137.0,183.5,false,1,1,0
18,0.8692118806472617,13.898762733936357,73.0,12.0,158.0,191.0,false,2,2,0
19,0.9393309180973954,22.157382795860528,75.0,11.0,178.0,193.0,false,2,2,0
74,1.095449927133537,15.976569849608584,252.0,0.0,0.0,15.0,true,0,0,0
75,0.9675213096070213,11.575045096583034,254.0,0.0,0.0,17.0,true,0,0,0
76,1.1397567285307642,14.287918651458938,258.0,0.0,0.0,14.0,true,0,0,0
23,1.0732832371399545,15.290695907787667,81.0,9.0,150.0,193.5,false,1,1,0
24,1.1407401829925226,19.632579676275565,84.0,9.0,166.0,206.5,false,1,1,0
28,1.1524320089927202,14.938798685377535,95.0,9.0,172.0,196.0,false,2,2,0
25,0.9286143957271381,19.082852626409,87.0,11.0,182.0,231.5,false,1,1,0
29,1.1329381650622259,15.74218520732112,100.0,9.0,182.0,219.0,false,2,2,0
30,0.8043775339528669,20.57073060249147,101.0,13.0,201.0,221.0,false,2,2,0
26,0.9630691113646939,13.455182476116585,88.0,10.0,194.0,241.5,false,1,1,0
97,0.896025892590075,17.92426063948426,321.0,0.0,0.0,18.0,true,0,0,0
27,1.0756288583159606,18.341835779185402,92.0,9.0,208.0,250.5,false,1,1,0
32,1.1584416751581352,20.826775504525635,111.0,9.0,232.0,250.0,false,2,2,0
34,1.1405800616297772,20.962257246694683,116.0,9.0,204.0,244.5,false,1,1,0
100,1.0316350954157025,21.636029181197237,335.0,0.0,0.0,25.0,true,0,0,0
31,0.9656800112162547,21.36014069885853,106.0,10.0,217.0,256.0,false,2,2,0
33,1.0112750968282296,13.157054815555043,113.0,10.0,243.0,259.0,false,2,2,0
35,0.9751549114115403,19.26927993808841,123.0,10.0,216.0,263.5,false,1,1,0
41,1.0169822099589196,26.44010584774412,147.0,10.0,235.0,253.0,false,2,2,0
36,1.1896636640825742,23.32761817739522,132.0,8.0,230.0,269.5,false,1,1,0
117,1.0132467044493083,20.332654494307736,390.0,0.0,0.0,16.0,true,0,0,0
116,1.2352957933036277,18.34108425970241,389.0,0.0,0.0,33.0,true,0,0,0
38,0.9962089977366219,15.73935328434187,135.0,10.0,242.0,288.5,false,1,1,0
40,0.8845062669741474,17.265960184647856,143.0,11.0,268.0,284.5,false,1,1,0
121,1.0564050000036764,16.816652458145516,408.0,0.0,0.0,32.0,true,0,0,0
