CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
2,1.0457935310087099,21.230702153953597,5.0,0.0,0.0,16.0,true,0,0,0
1,0.8321425402451044,20.469734094994976,2.0,12.0,33.0,51.0,false,2,2,0
13,0.9934486557429962,19.304889723670776,56.0,0.0,0.0,19.0,true,0,0,0
0,0.9253854870842729,15.44487686851712,0.0,11.0,27.0,76.5,false,1,1,0
3,0.9543559880518285,21.9869360696301,9.0,10.0,47.0,68.0,false,2,2,0
10,0.9859316540575609,11.034250022447047,32.0,0.0,0.0,44.0,true,0,0,0
4,1.1892090017557353,19.625153656879736,12.0,8.0,63.0,79.0,false,2,2,0
6,0.8554924131279676,23.41202558639331,19.0,12.0,36.0,72.5,false,1,1,0
7,0.9665230835197991,14.234956889119807,21.0,10.0,48.0,95.5,false,1,1,0
5,1.0706960122538054,15.76987698436309,17.0,9.0,73.0,101.0,false,2,2,0
8,0.9820334234002169,21.483784392049014,24.0,10.0,66.0,112.5,false,1,1,0
24,0.9939873575432593,13.893246766331547,98.0,0.0,0.0,38.0,true,0,0,0
11,1.0106341046925211,19.529130335848624,44.0,10.0,65.0,94.0,false,2,2,0
9,0.967034682181156,16.990142032149798,25.0,10.0,81.0,128.5,false,1,1,0
12,0.9806287538363884,16.912643463323292,45.0,10.0,80.0,109.0,false,2,2,0
40,0.9104088873739014,19.22073383583739,145.0,0.0,0.0,18.0,true,0,0,0
14,1.068812123168414,22.723669720792184,57.0,9.0,71.0,114.5,false,1,1,0
20,1.0114987629934031,20.092645794387778,74.0,10.0,71.0,103.0,false,2,2,0
21,0.9407637169724359,21.170751930144068,81.0,11.0,85.0,104.0,false,2,2,0
44,0.9121754444033661,16.891264635357796,166.0,0.0,0.0,18.0,true,0,0,0
15,0.9979530624834304,21.858039831038255,61.0,10.0,88.0,134.5,false,1,1,0
22,1.1091441480489486,16.317706877967264,83.0,9.0,99.0,114.0,false,2,2,0
23,0.8493360749390007,15.134294117306556,97.0,12.0,100.0,118.0,false,2,2,0
16,0.9549511973891791,23.189727004829205,62.0,10.0,110.0,158.5,false,1,1,0
55,0.990782479788813,19.575171978328665,217.0,0.0,0.0,16.0,true,0,0,0
17,0.8636195711324023,18.530112265433075,67.0,12.0,123.0,175.5,false,1,1,0
18,0.9719147481310706,18.56909316977249,69.0,10.0,139.0,186.5,false,1,1,0
25,1.0044859624083777,20.827759507505196,103.0,10.0,114.0,153.0,false,2,2,0
26,0.8690125904381446,23.94704265548819,106.0,12.0,134.0,152.0,false,2,2,0
19,0.9801477351367106,22.664846486768404,71.0,10.0,159.0,205.5,false,1,1,0
27,0.9215919883002098,19.260488690299763,113.0,11.0,146.0,165.0,false,2,2,0
28,0.8876118551852621,20.219915616152473,114.0,11.0,136.0,187.5,false,1,1,0
65,0.9607514014386835,17.636121122667895,289.0,0.0,0.0,17.0,true,0,0,0
29,0.9489464506917418,18.79913208366128,115.0,11.0,162.0,204.0,false,2,2,0
31,0.962566379815683,21.670807295973066,120.0,10.0,151.0,198.5,false,1,1,0
63,0.9737908171800459,16.67060717925396,282.0,0.0,0.0,36.0,true,0,0,0
68,1.0025699333316842,17.119026168651303,296.0,0.0,0.0,22.0,true,0,0,0
32,0.9614269791162752,19.37593936272391,122.0,10.0,168.0,215.5,false,1,1,0
67,0.9554088058420461,24.983261309906887,294.0,0.0,0.0,43.0,true,0,0,0
41,0.9559562201578922,15.500747268826139,157.0,10.0,151.0,182.0,false,2,2,0
30,0.9911848672311603,16.394733314632898,116.0,10.0,177.0,224.0,false,2,2,0
33,0.8388041365541367,17.701728771208177,128.0,12.0,179.0,216.5,false,1,1,0
34,0.9963187854462724,20.408789202878232,132.0,10.0,195.0,213.5,false,1,1,0
79,0.8021566265797535,21.855401092918566,325.0,0.0,0.0,20.0,true,0,0,0
43,0.9997319357954335,24.25974986410347,164.0,10.0,168.0,183.5,false,2,2,1
42,0.7830270195382366,19.710883704771796,163.0,13.0,189.0,210.0,false,2,2,0
46,1.1132002208976097,19.887668259305674,171.0,9.0,200.0,227.0,false,2,2,0
85,0.8736962663695844,16.303689936338646,359.0,0.0,0.0,38.0,true,0,0,0
35,0.9537581837098508,23.365987077403386,137.0,10.0,213.0,261.5,false,1,1,0
88,0.8595417721953544,16.437604151997945,367.0,0.0,0.0,31.0,true,0,0,0
45,0.7913010818826736,17.730989537638038,170.0,13.0,219.0,243.0,false,2,2,0
36,1.0984679912401782,21.266300655911856,138.0,9.0,233.0,275.5,false,1,1,0
47,0.9575810537967172,13.309562590596425,179.0,10.0,223.0,240.0,false,2,2,0
48,0.8210792191959446,11.243344815623553,183.0,12.0,230.0,250.0,false,2,2,0
37,1.0456956436878493,18.255217500423953,140.0,10.0,249.0,293.5,false,1,1,0
38,1.0023528473374317,19.763194754011586,141.0,10.0,267.0,312.5,false,1,1,0
52,1.0092548796536023,15.38392243711919,207.0,10.0,221.0,248.0,false,2,2,0
100,1.0270667644958225,10.699925593465103,437.0,0.0,0.0,17.0,true,0,0,0
