CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,1.1364214499841174,18.52323152986495,4.0,0.0,0.0,14.0,true,0,0,0
5,1.1632211263081962,7.341498348229871,12.0,0.0,0.0,14.0,true,0,0,0
8,0.9823315552045297,13.876477045170315,22.0,0.0,0.0,17.0,true,0,0,0
1,1.1986809137261576,14.250284330198685,5.0,8.0,23.0,39.0,false,2,2,0
13,1.0398618580003027,10.41845961219939,39.0,0.0,0.0,16.0,true,0,0,0
2,1.0402183936353948,13.29192247675955,8.0,10.0,24.0,68.5,false,1,1,0
3,0.9807618472974451,12.733095362595376,9.0,10.0,31.0,68.0,false,2,2,0
6,1.1072139749296666,12.63737931499746,16.0,9.0,28.0,69.5,false,1,1,0
20,0.8899777158186543,18.180573689912276,65.0,0.0,0.0,20.0,true,0,0,0
4,0.9752521946523156,17.072788490950693,11.0,10.0,46.0,76.0,false,2,2,0
7,0.8524344219327801,15.999781112151991,17.0,12.0,42.0,78.5,false,1,1,0
11,0.9147073226195495,13.44633139717276,36.0,11.0,34.0,62.0,false,2,2,0
26,0.9115165453768193,18.86689869363917,85.0,0.0,0.0,25.0,true,0,0,0
9,1.1799404434723468,13.10690649367722,24.0,8.0,48.0,87.5,false,1,1,0
12,0.9694556010056632,22.260197577590386,38.0,10.0,54.0,74.0,false,2,2,0
29,0.946627790901017,11.14130855436943,94.0,0.0,0.0,17.0,true,0,0,0
34,1.0797931674813002,13.499175840064858,105.0,0.0,0.0,15.0,true,0,0,0
10,0.8437485300961988,22.820055627415506,26.0,12.0,68.0,105.5,false,1,1,0
14,0.9831852463362295,18.018223584334773,44.0,10.0,66.0,92.0,false,2,2,0
15,1.1115309926780117,16.464277182378346,49.0,9.0,77.0,92.0,false,2,2,0
16,0.8842518276811795,16.524809243349576,52.0,11.0,58.0,109.5,false,1,1,0
18,0.9901608507025208,12.776025926222001,55.0,10.0,67.0,106.5,false,1,1,0
41,1.0308896751084056,16.303607281154953,121.0,0.0,0.0,40.0,true,0,0,0
17,0.9020769544479768,7.737104051699832,54.0,11.0,79.0,109.0,false,2,2,0
19,0.9938934924906044,12.563999976501838,62.0,10.0,72.0,118.5,false,1,1,0
25,0.9135833101538459,16.7981118351956,77.0,11.0,72.0,104.0,false,2,2,0
21,1.0496882560029912,13.855997683751406,66.0,9.0,81.0,124.5,false,1,1,0
27,0.8422831890619702,10.643000249413063,87.0,12.0,72.0,104.0,false,2,2,0
56,1.0209474588919922,17.704382684513124,186.0,0.0,0.0,20.0,true,0,0,0
22,1.0202003082172626,15.434468424146022,67.0,10.0,95.0,140.5,false,1,1,0
28,1.063465871417464,15.616400519025065,90.0,9.0,84.0,118.0,false,2,2,0
30,1.0926197371818855,14.799882580966543,99.0,9.0,89.0,109.0,false,2,2,0
31,1.1692987732118147,9.711788397305188,101.0,8.0,96.0,126.0,false,2,2,0
23,0.9291226940073524,16.44578058271485,68.0,11.0,110.0,159.5,false,1,1,0
