CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
3,0.86452711702702,22.775346233327166,23.0,0.0,0.0,19.0,true,0,0,0
5,1.1210941514066168,16.393802418409297,27.0,0.0,0.0,15.0,true,0,0,0
1,0.9253997434555696,22.20691956390457,19.0,11.0,41.0,55.5,false,1,1,0
0,1.0781046442574982,14.210989839204021,14.0,9.0,24.0,66.5,false,1,1,0
2,0.9146802497594633,18.308958994110938,22.0,11.0,30.0,59.0,false,2,2,0
12,0.9656418843649053,14.665920510702959,57.0,0.0,0.0,23.0,true,0,0,0
4,1.141527295581853,14.383750531579185,24.0,9.0,42.0,60.0,false,2,2,0
16,1.1533390850744345,18.82391019928789,72.0,0.0,0.0,14.0,true,0,0,0
23,0.8719929251434113,20.686634620640383,84.0,0.0,0.0,19.0,true,0,0,0
7,0.9272736394913201,17.613054141400283,33.0,11.0,70.0,87.0,false,2,2,0
8,0.9079628038012864,22.341695724318864,36.0,11.0,46.0,96.5,false,1,1,0
6,0.9727086246440944,20.60882717857186,30.0,10.0,56.0,104.0,false,2,2,0
25,1.079702483095316,22.196271747831545,92.0,0.0,0.0,41.0,true,0,0,0
9,0.9880695166989729,14.288359019053297,46.0,10.0,50.0,96.5,false,1,1,0
31,0.7722710621437263,19.75636141771666,122.0,0.0,0.0,21.0,true,0,0,0
33,1.0089024935371387,21.976372177360567,132.0,0.0,0.0,16.0,true,0,0,0
10,0.8154052875797289,17.793096541128776,50.0,12.0,63.0,101.5,false,1,1,0
13,0.8936605385759189,22.1131700132746,59.0,11.0,66.0,102.0,false,2,2,0
35,0.9880814969604587,20.177796599418865,145.0,0.0,0.0,28.0,true,0,0,0
11,1.0404826225879813,17.503593518777333,56.0,10.0,74.0,118.5,false,1,1,0
36,1.0527010514193222,17.298263278543683,150.0,0.0,0.0,27.0,true,0,0,0
14,0.86388671613648,17.49296927381335,60.0,12.0,82.0,119.0,false,2,2,0
15,0.9700357046584019,15.594468936693977,71.0,10.0,86.0,108.0,false,2,2,0
17,0.9270859283274375,19.25056917245096,73.0,11.0,103.0,122.0,false,2,2,0
41,1.126146882004723,22.07406561580751,163.0,0.0,0.0,40.0,true,0,0,0
18,0.8714624220370362,22.501953575363043,76.0,12.0,76.0,128.5,false,1,1,0
42,1.1084448271969467,19.232600824406557,167.0,0.0,0.0,37.0,true,0,0,0
19,0.8689237286869175,15.695966459377527,78.0,12.0,113.0,133.0,false,2,2,0
48,0.9234677975267982,23.561971812691887,199.0,0.0,0.0,18.0,true,0,0,0
20,0.9621992526760716,20.89788655494725,79.0,10.0,93.0,140.5,false,1,1,0
21,0.9885348269175822,23.104515387322504,82.0,10.0,113.0,159.5,false,1,1,0
26,0.9784716495991724,19.997352531501534,95.0,10.0,115.0,147.0,false,2,2,0
22,0.8963980034664129,15.595598449654581,83.0,11.0,127.0,177.5,false,1,1,0
24,0.869900123425855,18.961539271817596,87.0,12.0,141.0,173.5,false,1,1,0
57,0.8846732388293487,17.37473728872676,227.0,0.0,0.0,33.0,true,0,0,0
27,1.0219145519544615,18.471136573932622,106.0,10.0,122.0,156.0,false,2,2,0
64,0.9377596668026307,24.03359355383204,250.0,0.0,0.0,17.0,true,0,0,0
