CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
1,0.97804952360719,8.971826410522375,8.0,0.0,0.0,17.0,true,0,0,0
5,1.053333554632233,11.559993715430155,17.0,0.0,0.0,15.0,true,0,0,0
3,0.894130075711228,9.84570424500656,15.0,0.0,0.0,18.0,true,0,0,0
6,0.9853384225725119,8.776081053768797,21.0,0.0,0.0,16.0,true,0,0,0
8,0.9892508459758377,15.525131896532328,27.0,0.0,0.0,16.0,true,0,0,0
0,0.8844940324675079,17.396677225124414,4.0,11.0,29.0,46.5,false,1,1,0
9,0.8717657853303701,25.174216015714244,31.0,0.0,0.0,19.0,true,0,0,0
13,1.0467743782691208,16.04052765456623,48.0,0.0,0.0,16.0,true,0,0,0
14,1.056747066333593,15.415453859019316,49.0,0.0,0.0,15.0,true,0,0,0
4,1.0965114197443442,24.489532853685205,16.0,9.0,34.0,50.0,false,2,2,0
16,1.0317330715945323,14.852475016700868,52.0,0.0,0.0,16.0,true,0,0,0
17,0.9561747959725091,12.819271346872092,64.0,0.0,0.0,17.0,true,0,0,0
20,1.0296946478272262,19.215580237131693,74.0,0.0,0.0,16.0,true,0,0,0
18,0.9452800888852632,17.95161597638438,68.0,0.0,0.0,32.0,true,0,0,0
2,0.9105340792331317,18.963924636304625,12.0,11.0,39.0,89.5,false,1,1,0
7,0.8392677950834974,15.575249236641477,22.0,12.0,43.0,80.0,false,2,2,0
23,1.071008587446628,13.445187109601783,88.0,0.0,0.0,25.0,true,0,0,0
10,0.9798522892929833,13.277836220821658,32.0,10.0,46.0,83.0,false,2,2,0
11,0.9506306697976732,15.517400946405322,34.0,11.0,32.0,80.5,false,1,1,0
19,1.0448062414648405,15.95243292168081,73.0,0.0,0.0,41.0,true,0,0,0
21,0.867374302141294,12.69790842961026,81.0,0.0,0.0,33.0,true,0,0,0
12,0.9981172357936715,18.674686034270064,41.0,10.0,43.0,74.5,false,1,1,0
24,0.8929727668183006,17.64500632994289,99.0,0.0,0.0,18.0,true,0,0,0
25,0.7943714268513419,14.642693457162682,102.0,0.0,0.0,20.0,true,0,0,0
22,0.9669340266448706,14.764219460535605,85.0,10.0,25.0,42.0,false,2,2,0
26,0.9008091537833387,15.28192209731759,108.0,0.0,0.0,18.0,true,0,0,0
15,0.9607541936154865,9.591644745146972,51.0,10.0,42.0,89.5,false,1,1,0
27,0.937996061179883,14.104447893466396,114.0,0.0,0.0,26.0,true,0,0,0
29,0.83945088973711,21.384547003126332,121.0,0.0,0.0,19.0,true,0,0,0
30,0.9569260004479182,18.18679413885415,124.0,0.0,0.0,17.0,true,0,0,0
32,0.8512669529100197,16.224257261807267,130.0,0.0,0.0,19.0,true,0,0,0
35,0.8854508437767347,15.096165756736143,135.0,0.0,0.0,18.0,true,0,0,0
31,1.047815696029375,13.049690372621638,126.0,10.0,24.0,41.0,false,2,2,0
28,1.0769118901112495,17.100275858453266,120.0,9.0,27.0,69.5,false,1,1,0
40,0.9803835267809113,19.56231533674797,158.0,0.0,0.0,31.0,true,0,0,0
45,0.861766344074729,13.687718499978878,170.0,0.0,0.0,19.0,true,0,0,0
33,0.9648258849819445,11.916201496645453,132.0,10.0,29.0,59.0,false,2,2,0
36,0.9894681172416966,13.163932630508745,146.0,10.0,24.0,44.5,false,1,1,0
42,1.0076750633603353,17.574098715430512,163.0,0.0,0.0,27.0,true,0,0,0
34,1.0961247444305457,19.635719784191057,133.0,9.0,47.0,62.0,false,2,2,0
46,1.0215739266104074,17.277708784879966,178.0,0.0,0.0,16.0,true,0,0,0
47,0.947949184920545,14.744037109478734,179.0,0.0,0.0,17.0,true,0,0,0
48,1.0818608508892498,19.372401652978322,181.0,0.0,0.0,15.0,true,0,0,0
37,1.1445742415630271,21.099944526742995,147.0,9.0,44.0,59.5,false,1,1,0
