CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,0.9596799984685552,18.54437785522014,0.0,0.0,0.0,17.0,true,0,0,0
2,0.8842989881995509,17.641012696887728,25.0,0.0,0.0,18.0,true,0,0,0
1,1.0855484562637654,16.671573730474016,8.0,9.0,26.0,40.5,false,1,1,0
4,0.9502034804478356,16.2050050871302,31.0,0.0,0.0,17.0,true,0,0,0
6,1.0078697079429746,15.367964107839233,36.0,0.0,0.0,16.0,true,0,0,0
5,0.8461264686581959,23.528641566784913,34.0,0.0,0.0,19.0,true,0,0,0
8,0.9163198809951179,21.999243355434597,38.0,0.0,0.0,18.0,true,0,0,0
10,1.129625634768899,17.80803345944021,43.0,0.0,0.0,14.0,true,0,0,0
11,1.0292300028461243,18.64792641193186,53.0,0.0,0.0,16.0,true,0,0,0
3,1.2005659940953155,18.811375264758862,29.0,8.0,27.0,42.0,false,2,2,0
14,0.7400600926327796,13.262619918967212,64.0,0.0,0.0,22.0,true,0,0,0
18,0.973094250837294,19.472976849039078,82.0,0.0,0.0,17.0,true,0,0,0
17,0.856567274817165,18.66389829952297,75.0,0.0,0.0,35.0,true,0,0,0
20,0.7817944086134594,13.32487940170062,85.0,0.0,0.0,25.0,true,0,0,0
7,0.9978041244821769,17.06476805559781,37.0,10.0,28.0,74.5,false,1,1,0
21,1.0143342372718573,12.866975849373498,89.0,0.0,0.0,32.0,true,0,0,0
23,1.047457553855124,16.943342182232183,92.0,0.0,0.0,29.0,true,0,0,0
9,1.1961090958213068,19.40952697450046,39.0,8.0,45.0,83.5,false,1,1,0
12,0.9709699218054206,18.2796775347141,56.0,10.0,29.0,67.0,false,2,2,0
13,1.1314487933926132,22.358724856825457,63.0,9.0,44.0,62.0,false,2,2,0
27,1.0129259641205406,17.94273564014873,113.0,0.0,0.0,33.0,true,0,0,0
15,0.8870499189694787,19.27201978564583,65.0,11.0,61.0,83.0,false,2,2,0
16,1.016846372288977,17.667913428402056,74.0,10.0,28.0,73.5,false,1,1,0
33,1.0387531341670964,21.454731045877537,150.0,0.0,0.0,16.0,true,0,0,0
29,0.9950824470232922,19.242236887125188,133.0,0.0,0.0,35.0,true,0,0,0
19,0.9743243061167745,20.696865649672144,84.0,10.0,38.0,85.5,false,1,1,0
22,1.1398216055143644,16.62840141503646,90.0,9.0,48.0,79.5,false,1,1,0
30,0.9328790479494715,15.735056120455019,137.0,0.0,0.0,32.0,true,0,0,0
31,1.0969663047359846,17.129374570240458,148.0,0.0,0.0,21.0,true,0,0,0
25,1.0771904953134332,14.896199831795373,103.0,9.0,37.0,68.0,false,2,2,0
35,1.0758602305419145,20.33018005981413,158.0,0.0,0.0,15.0,true,0,0,0
37,1.0375059677281218,20.043826238401024,172.0,0.0,0.0,22.0,true,0,0,0
24,1.0871157425041995,15.644182703752376,93.0,9.0,60.0,102.5,false,1,1,0
26,1.0864366921091086,16.69502397134971,104.0,9.0,52.0,92.0,false,2,2,0
28,0.9639485144113771,16.703179233552408,131.0,10.0,41.0,65.0,false,2,2,0
32,0.9499638754528195,20.005105280484926,149.0,11.0,32.0,46.5,false,1,1,0
39,0.9817788749619041,16.633081424928832,178.0,0.0,0.0,17.0,true,0,0,0
40,0.9535111162624009,12.33904210889838,182.0,0.0,0.0,17.0,true,0,0,0
41,0.8950556966392267,17.29870599851549,190.0,0.0,0.0,18.0,true,0,0,0
