CAR_NUMBER,AGGRESSIVENESS,PAY_TOLL_TIME,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,BOOTH_PAID_AT,FINAL_LANE
0,1.0136891774770238,17.076116651631647,11.0,0.0,0.0,16.0,true,0,0,0
3,1.0802224377406908,20.376576388176698,20.0,0.0,0.0,15.0,true,0,0,0
4,1.069797154981913,21.79627001206419,21.0,0.0,0.0,15.0,true,0,0,0
5,0.978003554694772,15.867943147263295,24.0,0.0,0.0,17.0,true,0,0,0
6,1.1338814034048648,16.653869378341202,28.0,0.0,0.0,14.0,true,0,0,0
11,1.0472476754143298,14.512661941919557,45.0,0.0,0.0,16.0,true,0,0,0
1,0.9360363307460287,17.695533589501466,14.0,11.0,29.0,77.5,false,1,1,0
13,0.9057278400425322,19.939356301108663,54.0,0.0,0.0,37.0,true,0,0,0
7,0.904811168142472,15.08836333797955,36.0,11.0,27.0,69.0,false,2,2,0
18,0.9727171758370088,20.042989173283132,77.0,0.0,0.0,27.0,true,0,0,0
20,0.9588877349781854,19.728130626934217,79.0,0.0,0.0,25.0,true,0,0,0
2,0.9448943207108068,14.563412632517029,15.0,11.0,42.0,90.5,false,1,1,0
17,1.101444868942099,17.872518954602995,70.0,0.0,0.0,35.0,true,0,0,0
19,1.0297734019010696,13.506536358219938,78.0,0.0,0.0,27.0,true,0,0,0
21,0.9178573964590503,19.979454084569998,84.0,0.0,0.0,21.0,true,0,0,0
8,0.8095474046160085,19.507311087224288,37.0,12.0,45.0,71.0,false,2,2,0
12,0.9087459174951361,21.4040023571467,51.0,11.0,33.0,83.5,false,1,1,0
26,0.9942689844761914,18.003838709043535,107.0,0.0,0.0,27.0,true,0,0,0
27,1.1722675633142543,21.26765874029493,110.0,0.0,0.0,24.0,true,0,0,0
9,0.9864895505717578,21.270517116645426,39.0,10.0,64.0,97.0,false,2,2,0
14,1.2470666470024807,14.111732759572554,57.0,8.0,41.0,78.5,false,1,1,0
29,0.875008882627901,22.981713522414864,117.0,0.0,0.0,18.0,true,0,0,0
10,0.941037584778729,17.522253997059465,44.0,11.0,76.0,93.0,false,2,2,0
31,1.0250784605180179,17.763743561367868,126.0,0.0,0.0,16.0,true,0,0,0
33,1.0069859100290959,15.420607721906668,129.0,0.0,0.0,16.0,true,0,0,0
35,0.8620182583007628,15.616458252764112,135.0,0.0,0.0,19.0,true,0,0,0
36,0.9986750196822594,18.339754341785685,144.0,0.0,0.0,16.0,true,0,0,0
32,0.9849804074770255,12.766984488139517,127.0,0.0,0.0,38.0,true,0,0,0
15,0.8780280775311509,16.955028785869715,61.0,11.0,53.0,105.5,false,1,1,0
34,0.9974630556323527,17.409259050344353,132.0,0.0,0.0,34.0,true,0,0,0
22,1.0233652747375397,21.97640384509934,89.0,10.0,52.0,79.0,false,2,2,0
23,1.077958723293915,14.741517796777295,92.0,9.0,63.0,85.0,false,2,2,0
40,1.0172619353063204,19.087920890115218,156.0,0.0,0.0,20.0,true,0,0,0
16,1.1560752426627305,23.105005694955274,67.0,9.0,70.0,110.5,false,1,1,0
42,1.1889281659095463,14.86407894756675,166.0,0.0,0.0,14.0,true,0,0,0
45,1.0169482867981796,18.532104318697606,172.0,0.0,0.0,16.0,true,0,0,0
49,1.0868468115966252,14.490734158022196,191.0,0.0,0.0,15.0,true,0,0,0
25,0.8664070758549741,21.754245519147133,101.0,12.0,57.0,109.5,false,1,1,0
48,0.9748912248286044,17.889454613072743,178.0,0.0,0.0,32.0,true,0,0,0
24,1.0591531729203414,17.960993716036946,96.0,9.0,76.0,116.0,false,2,2,0
28,1.0293871658175076,18.62456415412693,116.0,10.0,60.0,104.5,false,1,1,0
30,0.9209280367868409,18.728584541315804,121.0,11.0,73.0,99.5,false,1,1,0
37,1.0288120012131197,23.16425505121483,146.0,10.0,49.0,75.0,false,2,2,0
50,1.014008077873841,21.941448126488687,193.0,0.0,0.0,27.0,true,0,0,0
38,1.0662093444961187,18.55304164210941,148.0,9.0,65.0,84.0,false,2,2,0
56,0.9450888767319654,20.978480490935628,226.0,0.0,0.0,33.0,true,0,0,0
55,0.8722132420155861,12.57743153444369,221.0,0.0,0.0,39.0,true,0,0,0
41,1.0150578075467889,22.317549165229863,164.0,10.0,52.0,97.5,false,1,1,0
58,0.91798691639612,21.199225928947115,229.0,0.0,0.0,32.0,true,0,0,0
39,0.9326766594115082,22.3776491836853,151.0,11.0,84.0,112.0,false,2,2,0
43,0.93244405386593,18.31682157741948,167.0,11.0,67.0,116.5,false,1,1,0
61,1.1159554661542275,20.8236707769691,248.0,0.0,0.0,35.0,true,0,0,0
62,1.0622986288685348,17.722941172418047,252.0,0.0,0.0,31.0,true,0,0,0
63,0.8062227841223689,19.765502084802712,256.0,0.0,0.0,27.0,true,0,0,0
64,1.0312291237292355,21.218733396492578,257.0,0.0,0.0,26.0,true,0,0,0
51,1.0150438898557157,13.037476882513808,204.0,10.0,44.0,81.0,false,2,2,0
67,0.9021390844873404,16.502669880096022,269.0,0.0,0.0,18.0,true,0,0,0
44,1.1317719810239115,20.50010678762211,170.0,9.0,84.0,124.5,false,1,1,0
52,1.0171759390449604,18.149503968632434,212.0,10.0,54.0,83.0,false,2,2,0
70,1.082618704809163,19.176387852781126,279.0,0.0,0.0,15.0,true,0,0,0
46,1.0111551119726085,20.70719343333031,175.0,10.0,99.0,144.5,false,1,1,0
71,1.0099324185394547,24.031662256643074,282.0,0.0,0.0,37.0,true,0,0,0
73,1.0631043067145356,23.394194317968058,291.0,0.0,0.0,28.0,true,0,0,0
47,0.93286396156863,17.004114167008677,176.0,11.0,115.0,144.5,false,1,1,0
53,0.9597405197264982,19.81126710710944,215.0,10.0,70.0,106.0,false,2,2,0
76,1.0365208759554114,19.53249257336486,304.0,0.0,0.0,16.0,true,0,0,0
54,1.1220787319014456,19.195061361617057,216.0,9.0,88.0,117.0,false,2,2,0
79,1.0411785097830955,16.12261468016363,310.0,0.0,0.0,22.0,true,0,0,0
60,0.9002723111655988,17.925529314599817,247.0,11.0,74.0,95.0,false,2,2,0
85,1.0551070554627018,17.821073173621684,336.0,0.0,0.0,15.0,true,0,0,0
59,1.1004757620643928,22.03597842854436,243.0,9.0,91.0,109.5,false,1,1,0
57,1.1057373589896466,21.25956963069207,228.0,9.0,84.0,125.5,false,1,1,0
83,1.0877239258944391,21.09766249438379,327.0,0.0,0.0,26.0,true,0,0,0
87,1.0351523194101597,18.853470881636373,342.0,0.0,0.0,16.0,true,0,0,0
90,0.8944362538332895,18.867890682812607,352.0,0.0,0.0,18.0,true,0,0,0
65,0.9443913777373677,20.38567225239899,260.0,11.0,81.0,115.0,false,2,2,0
66,0.8384720640523389,15.799432375575432,261.0,12.0,95.0,115.0,false,2,2,0
69,1.164855755708287,19.73181104029284,274.0,9.0,79.0,118.5,false,1,1,0
72,1.0897216356278154,19.97447536742339,288.0,9.0,84.0,104.5,false,1,1,0
93,0.8678385801141241,18.05736424011095,363.0,0.0,0.0,29.0,true,0,0,0
96,1.080600127080239,21.389763479360564,372.0,0.0,0.0,20.0,true,0,0,0
68,1.0780674786775626,20.768337837201287,270.0,9.0,106.0,124.0,false,2,2,0
99,1.0509025834791237,17.138061833717533,382.0,0.0,0.0,15.0,true,0,0,0
74,0.956338862073969,11.818911168083478,293.0,10.0,90.0,105.5,false,1,1,0
102,1.0947221459057144,22.827847416076523,394.0,0.0,0.0,15.0,true,0,0,0
77,1.1629305998191841,17.694638579301376,306.0,9.0,87.0,115.0,false,2,2,0
104,0.8801675265647362,17.000931163354114,399.0,0.0,0.0,21.0,true,0,0,0
103,0.707122658298837,16.87960639502881,398.0,0.0,0.0,23.0,true,0,0,0
75,1.1400362952320313,21.098542748830386,302.0,9.0,102.0,121.5,false,1,1,0
105,0.9640021787868953,20.949148324285936,406.0,0.0,0.0,17.0,true,0,0,0
78,1.0485518079676333,18.64559626769445,307.0,10.0,104.0,120.0,false,2,2,0
110,1.073389285997318,21.202226141072952,424.0,0.0,0.0,15.0,true,0,0,0
82,0.999899511904334,15.864553930279204,316.0,10.0,103.0,148.5,false,1,1,0
81,1.0938908799030087,21.290662341141754,312.0,9.0,120.0,154.0,false,2,2,0
84,1.2657668565691789,13.477549388198879,330.0,8.0,102.0,138.5,false,1,1,0
86,0.9942175240683498,14.439615299927517,340.0,10.0,106.0,128.5,false,1,1,0
114,0.9815773765668487,22.063214337872772,447.0,0.0,0.0,21.0,true,0,0,0
115,0.9715306070758721,22.287237600191254,451.0,0.0,0.0,17.0,true,0,0,0
116,1.1267448678578174,13.837253451368055,452.0,0.0,0.0,16.0,true,0,0,0
80,0.8642085954662365,17.982881081519952,311.0,12.0,139.0,176.0,false,2,2,0
88,0.9426639238007414,17.272010619338445,346.0,11.0,117.0,165.5,false,1,1,0
121,0.8510160139046858,14.39527944485176,469.0,0.0,0.0,42.0,true,0,0,0
89,0.9739271533558942,19.220204866258626,348.0,10.0,134.0,164.5,false,1,1,0
91,0.9025593388649011,18.194658995951336,361.0,11.0,107.0,152.0,false,2,2,0
126,0.9083518489303277,19.62681564156875,484.0,0.0,0.0,28.0,true,0,0,0
127,1.0474463718570513,20.920633076724627,485.0,0.0,0.0,27.0,true,0,0,0
129,0.7824520796858389,17.65663963655085,489.0,0.0,0.0,23.0,true,0,0,0
134,1.0322227087585032,18.02395649707875,496.0,0.0,0.0,30.0,true,0,0,0
100,0.9960639644964777,18.75293879014626,387.0,10.0,113.0,140.5,false,1,1,0
133,1.069085341321217,15.648718132991057,495.0,0.0,0.0,32.0,true,0,0,0
135,0.9833980039612216,14.614997592743741,498.0,0.0,0.0,29.0,true,0,0,0
136,0.888494040655837,19.435634171233062,504.0,0.0,0.0,23.0,true,0,0,0
92,0.8645163405823726,15.727172096684347,362.0,12.0,136.0,167.0,false,2,2,0
94,1.097706094490113,14.542454372819158,364.0,9.0,118.0,165.0,false,2,2,0
131,1.064284590721657,23.481572170208302,491.0,0.0,0.0,37.0,true,0,0,0
