CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
205,0.9713926731645455,781.0,0.0,0.0,31.0,true,0,0
181,0.9331354079366491,694.0,11.0,70.0,120.0,false,1,0
186,1.0366933928906856,711.0,10.0,58.0,104.0,false,2,0
191,0.9338724076137821,725.0,11.0,53.0,89.0,false,1,0
204,0.9686833243492206,779.0,0.0,0.0,34.0,true,0,0
207,1.1675951697440912,785.0,0.0,0.0,29.0,true,0,0
208,0.8734056721676237,794.0,0.0,0.0,20.0,true,0,0
209,1.0190502397961325,795.0,0.0,0.0,19.0,true,0,0
187,0.9926228318564608,712.0,10.0,71.0,105.0,false,2,0
188,1.110371100564256,714.0,9.0,83.0,103.0,false,2,0
211,1.0549009034497587,799.0,0.0,0.0,17.0,true,0,0
210,0.8439032301003739,798.0,0.0,0.0,19.0,true,0,0
214,1.034378241533249,815.0,0.0,0.0,16.0,true,0,0
212,0.9997516980134115,806.0,0.0,0.0,31.0,true,0,0
194,0.9958177057139549,737.0,10.0,55.0,102.0,false,1,0
215,0.9596409194430832,822.0,0.0,0.0,17.0,true,0,0
217,1.0600897259132838,826.0,0.0,0.0,15.0,true,0,0
218,0.8478571687857319,830.0,0.0,0.0,19.0,true,0,0
195,0.9282875845928313,743.0,11.0,63.0,113.0,false,1,0
199,1.0391556630737933,755.0,10.0,56.0,102.0,false,2,0
213,0.910501198658962,812.0,0.0,0.0,43.0,true,0,0
200,0.9969688041920866,766.0,10.0,59.0,92.0,false,2,0
196,0.9156283946367175,747.0,11.0,73.0,123.0,false,1,0
197,1.0289860751939008,748.0,10.0,86.0,131.0,false,1,0
222,1.0355271197668077,846.0,0.0,0.0,32.0,true,0,0
206,0.8439423572057169,782.0,12.0,66.0,104.0,false,1,0
216,0.8660496773243904,824.0,12.0,27.0,65.0,false,2,0
224,1.0482203784599238,857.0,0.0,0.0,30.0,true,0,0
219,0.9583986741805767,837.0,10.0,25.0,73.0,false,1,0
220,0.8263470786877807,841.0,12.0,35.0,69.0,false,1,0
228,1.028629454315242,875.0,0.0,0.0,34.0,true,0,0
221,0.9727390866688472,845.0,10.0,25.0,67.0,false,2,0
223,1.1477166760225985,848.0,9.0,36.0,64.0,false,2,0
225,1.0288434929830554,859.0,10.0,31.0,52.0,false,1,0
229,0.8669399394175903,885.0,0.0,0.0,25.0,true,0,0
231,0.8407951989138406,891.0,0.0,0.0,19.0,true,0,0
227,0.9690238246673494,871.0,10.0,27.0,48.0,false,2,0
226,0.8452750999233164,863.0,12.0,41.0,60.0,false,1,0
233,0.9103707250271357,904.0,0.0,0.0,18.0,true,0,0
230,0.9031829680773893,887.0,11.0,26.0,44.0,false,2,0
238,1.0006436698393242,930.0,0.0,0.0,16.0,true,0,0
232,1.0322318712422496,897.0,10.0,25.0,70.0,false,1,0
235,0.8404615634205017,915.0,12.0,27.0,53.0,false,2,0
243,0.9865602454968359,956.0,0.0,0.0,16.0,true,0,0
234,0.9571569373766884,911.0,10.0,25.0,73.0,false,1,0
239,1.0633441557015968,935.0,9.0,24.0,49.0,false,1,0
244,1.080954827975267,959.0,0.0,0.0,24.0,true,0,0
245,0.9454355826578638,966.0,0.0,0.0,17.0,true,0,0
236,0.9397964027396463,918.0,11.0,38.0,73.0,false,2,0
237,1.0649180566779557,928.0,9.0,42.0,64.0,false,2,0
240,1.0643483899660915,946.0,9.0,27.0,49.0,false,1,0
248,0.8560848772910885,975.0,0.0,0.0,19.0,true,0,0
249,1.0285632474385353,981.0,0.0,0.0,16.0,true,0,0
250,0.9647869305700171,983.0,0.0,0.0,17.0,true,0,0
