CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
2,9,23.0,true,0
0,6,33.0,false,1
4,17,23.0,true,0
1,8,33.0,false,2
3,13,40.0,false,1
5,31,33.0,false,2
6,38,33.0,false,1
7,39,39.0,false,2
8,56,23.0,true,0
10,63,23.0,true,0
11,68,23.0,true,0
12,69,23.0,true,0
9,62,33.0,false,2
13,80,33.0,false,2
14,86,33.0,false,1
15,106,23.0,true,0
17,108,23.0,true,0
18,111,23.0,true,0
19,113,23.0,true,0
16,107,33.0,false,1
20,126,33.0,false,1
21,134,33.0,false,2
22,136,37.0,false,1
26,156,23.0,true,0
23,138,43.0,false,2
27,160,23.0,true,0
25,142,45.0,false,1
28,164,23.0,true,0
29,171,23.0,true,0
24,141,54.0,false,2
31,173,23.0,true,0
30,172,33.0,false,1
33,184,23.0,true,0
36,191,23.0,true,0
32,182,33.0,false,2
35,188,33.0,false,1
34,187,42.0,false,2
39,209,23.0,true,0
40,211,23.0,true,0
37,193,42.0,false,1
42,218,23.0,true,0
43,219,23.0,true,0
44,223,23.0,true,0
38,206,43.0,false,1
41,217,33.0,false,2
46,229,23.0,true,0
45,227,36.0,false,1
47,249,23.0,true,0
48,252,23.0,true,0
52,261,23.0,true,0
49,253,33.0,false,1
50,254,33.0,false,2
53,265,35.0,false,1
51,259,42.0,false,2
58,278,23.0,true,0
54,269,45.0,false,1
55,270,45.0,false,2
62,303,23.0,true,0
57,276,52.0,false,1
63,305,23.0,true,0
56,273,56.0,false,2
59,295,47.0,false,1
60,300,43.0,false,2
67,324,23.0,true,0
64,308,48.0,false,1
61,302,55.0,false,2
68,342,23.0,true,0
69,345,23.0,true,0
65,319,51.0,false,1
66,321,50.0,false,2
73,360,23.0,true,0
70,347,37.0,false,1
71,352,33.0,false,2
72,359,39.0,false,1
74,362,37.0,false,2
75,382,23.0,true,0
76,387,23.0,true,0
78,402,23.0,true,0
79,403,23.0,true,0
77,397,33.0,false,2
80,413,23.0,true,0
82,417,23.0,true,0
84,422,23.0,true,0
81,414,33.0,false,2
86,428,23.0,true,0
83,421,33.0,false,1
87,433,33.0,false,2
85,424,44.0,false,1
90,449,23.0,true,0
91,455,23.0,true,0
89,444,36.0,false,2
88,441,41.0,false,1
92,459,23.0,true,0
93,460,23.0,true,0
94,463,33.0,false,2
97,485,23.0,true,0
95,464,46.0,false,2
99,487,23.0,true,0
96,479,33.0,false,1
100,490,23.0,true,0
102,495,23.0,true,0
103,498,23.0,true,0
98,486,40.0,false,1
101,494,33.0,false,2
105,511,23.0,true,0
106,514,23.0,true,0
104,502,38.0,false,1
107,518,23.0,true,0
108,525,23.0,true,0
109,531,23.0,true,0
112,542,23.0,true,0
110,535,33.0,false,2
113,545,23.0,true,0
111,538,33.0,false,1
114,556,23.0,true,0
115,564,23.0,true,0
116,572,23.0,true,0
117,573,33.0,false,1
119,586,23.0,true,0
118,581,33.0,false,2
123,595,23.0,true,0
120,588,33.0,false,1
124,598,23.0,true,0
122,592,36.0,false,2
121,589,46.0,false,1
127,619,23.0,true,0
128,620,23.0,true,0
125,611,33.0,false,2
129,625,23.0,true,0
130,630,23.0,true,0
126,615,43.0,false,2
132,635,23.0,true,0
131,632,33.0,false,1
133,641,33.0,false,2
135,660,23.0,true,0
136,661,23.0,true,0
138,665,23.0,true,0
134,658,33.0,false,1
141,672,23.0,true,0
137,664,33.0,false,2
140,670,35.0,false,1
143,682,23.0,true,0
139,669,42.0,false,2
145,694,23.0,true,0
146,695,23.0,true,0
142,676,43.0,false,1
147,698,23.0,true,0
144,692,41.0,false,1
148,703,33.0,false,2
149,719,33.0,false,1
151,736,23.0,true,0
152,740,23.0,true,0
150,731,33.0,false,2
154,750,23.0,true,0
153,749,33.0,false,2
155,761,33.0,false,1
157,765,33.0,false,2
159,781,23.0,true,0
156,764,44.0,false,1
161,786,23.0,true,0
158,768,44.0,false,2
162,796,23.0,true,0
163,801,23.0,true,0
160,783,43.0,false,2
164,808,33.0,false,1
166,818,23.0,true,0
165,810,33.0,false,2
167,824,23.0,true,0
169,836,23.0,true,0
168,831,33.0,false,2
170,861,23.0,true,0
172,865,23.0,true,0
171,863,33.0,false,2
173,867,33.0,false,1
174,882,33.0,false,2
175,883,33.0,false,1
177,906,23.0,true,0
176,894,36.0,false,1
179,935,23.0,true,0
178,926,33.0,false,2
180,941,33.0,false,1
185,952,23.0,true,0
181,944,33.0,false,2
186,954,23.0,true,0
188,957,23.0,true,0
189,964,23.0,true,0
183,947,41.0,false,1
182,945,46.0,false,2
192,973,23.0,true,0
194,975,23.0,true,0
