CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
0,1.0921880471582948,0.0,0.0,0.0,18.0,true,0,0
3,1.0541681591131147,16.0,0.0,0.0,18.0,true,0,0
5,0.7523974278768729,19.0,0.0,0.0,18.0,true,0,0
7,0.9803729587087212,28.0,0.0,0.0,18.0,true,0,0
1,1.1429390553114644,5.0,11.0,26.0,46.0,false,2,1
9,0.9799388277138917,34.0,0.0,0.0,18.0,true,0,0
10,0.9242722843048679,38.0,0.0,0.0,18.0,true,0,0
4,1.0550061904805863,17.0,11.0,26.0,46.0,false,1,1
2,1.0943385056698027,7.0,11.0,38.0,58.0,false,2,1
12,1.0531812717853928,51.0,0.0,0.0,18.0,true,0,0
14,1.180653355385426,53.0,0.0,0.0,18.0,true,0,0
15,0.841174585439139,58.0,0.0,0.0,18.0,true,0,0
6,0.8023264486201758,24.0,11.0,33.0,53.0,false,1,1
16,0.8850901252865312,60.0,0.0,0.0,18.0,true,0,0
17,1.130082703872112,61.0,0.0,0.0,18.0,true,0,0
18,1.0371073507253388,65.0,0.0,0.0,18.0,true,0,0
8,1.032115479345106,30.0,11.0,41.0,59.0,false,1,1
20,0.8266940856011051,73.0,0.0,0.0,18.0,true,0,0
11,1.1225622362386294,47.0,11.0,26.0,45.0,false,2,2
21,0.9588065413144116,76.0,0.0,0.0,18.0,true,0,0
13,1.2070239720920286,52.0,11.0,35.0,54.0,false,2,1
24,0.9873638060263809,92.0,0.0,0.0,18.0,true,0,0
25,0.9031303779372456,95.0,0.0,0.0,18.0,true,0,0
19,0.978175455289318,72.0,11.0,26.0,45.0,false,1,1
26,0.8422470405113065,100.0,0.0,0.0,18.0,true,0,0
28,1.0145670449163173,109.0,0.0,0.0,18.0,true,0,0
22,0.9043723016893306,80.0,11.0,32.0,52.0,false,1,1
23,1.0192724775221174,91.0,11.0,26.0,44.0,false,2,2
30,0.9404603822397399,123.0,0.0,0.0,18.0,true,0,0
27,1.072458128736202,107.0,11.0,26.0,47.0,false,2,1
31,0.9712094609876584,138.0,0.0,0.0,18.0,true,0,0
29,1.1473532286480053,115.0,11.0,26.0,45.0,false,1,1
32,0.8967401634892598,144.0,0.0,0.0,18.0,true,0,0
33,0.888080609100687,152.0,0.0,0.0,18.0,true,0,0
34,1.0030435256550985,178.0,0.0,0.0,18.0,true,0,0
36,1.0661648375917545,185.0,0.0,0.0,18.0,true,0,0
37,0.9473721400892436,189.0,0.0,0.0,18.0,true,0,0
39,0.9770509315200627,202.0,0.0,0.0,18.0,true,0,0
40,0.9481930091621332,206.0,0.0,0.0,18.0,true,0,0
35,0.9408095718323491,182.0,11.0,26.0,45.0,false,1,1
41,0.9823997973075705,210.0,0.0,0.0,18.0,true,0,0
42,0.930894866414545,216.0,0.0,0.0,18.0,true,0,0
38,1.1250987043310228,200.0,11.0,26.0,45.0,false,2,2
44,1.062156153922604,229.0,0.0,0.0,18.0,true,0,0
46,1.1782844033159916,235.0,0.0,0.0,18.0,true,0,0
47,0.9627472813771341,238.0,0.0,0.0,18.0,true,0,0
48,0.9217920568888615,243.0,0.0,0.0,18.0,true,0,0
