CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
433,433,23.0,true,0
434,434,23.0,true,0
435,435,23.0,true,0
437,437,23.0,true,0
438,438,23.0,true,0
441,441,23.0,true,0
442,442,23.0,true,0
444,444,23.0,true,0
123,123,345.0,false,1
445,445,23.0,true,0
446,446,23.0,true,0
130,130,340.0,false,2
449,449,23.0,true,0
450,450,23.0,true,0
452,452,23.0,true,0
453,453,23.0,true,0
455,455,23.0,true,0
456,456,23.0,true,0
129,129,353.0,false,1
132,132,352.0,false,2
461,461,23.0,true,0
464,464,23.0,true,0
469,469,23.0,true,0
470,470,23.0,true,0
471,471,23.0,true,0
472,472,23.0,true,0
135,135,361.0,false,1
473,473,23.0,true,0
474,474,23.0,true,0
134,134,364.0,false,2
476,476,23.0,true,0
479,479,23.0,true,0
480,480,23.0,true,0
481,481,23.0,true,0
484,484,23.0,true,0
486,486,23.0,true,0
142,142,368.0,false,1
487,487,23.0,true,0
488,488,23.0,true,0
139,139,373.0,false,2
489,489,23.0,true,0
491,491,23.0,true,0
492,492,23.0,true,0
493,493,23.0,true,0
495,495,23.0,true,0
499,499,23.0,true,0
150,150,374.0,false,1
501,501,23.0,true,0
148,148,378.0,false,2
503,503,23.0,true,0
505,505,23.0,true,0
506,506,23.0,true,0
510,510,23.0,true,0
511,511,23.0,true,0
513,513,23.0,true,0
514,514,23.0,true,0
151,151,387.0,false,1
515,515,23.0,true,0
516,516,23.0,true,0
153,153,387.0,false,2
520,520,23.0,true,0
521,521,23.0,true,0
524,524,23.0,true,0
154,154,398.0,false,1
529,529,23.0,true,0
156,156,398.0,false,2
535,535,23.0,true,0
536,536,23.0,true,0
537,537,23.0,true,0
538,538,23.0,true,0
540,540,23.0,true,0
541,541,23.0,true,0
158,158,408.0,false,1
159,159,409.0,false,2
547,547,23.0,true,0
548,548,23.0,true,0
549,549,23.0,true,0
550,550,23.0,true,0
553,553,23.0,true,0
160,160,420.0,false,1
163,163,419.0,false,2
562,562,23.0,true,0
563,563,23.0,true,0
564,564,23.0,true,0
566,566,23.0,true,0
567,567,23.0,true,0
568,568,23.0,true,0
569,569,23.0,true,0
165,165,429.0,false,1
571,571,23.0,true,0
164,164,432.0,false,2
574,574,23.0,true,0
575,575,23.0,true,0
576,576,23.0,true,0
578,578,23.0,true,0
583,583,23.0,true,0
584,584,23.0,true,0
167,167,441.0,false,1
170,170,440.0,false,2
587,587,23.0,true,0
588,588,23.0,true,0
590,590,23.0,true,0
595,595,23.0,true,0
596,596,23.0,true,0
597,597,23.0,true,0
598,598,23.0,true,0
171,171,451.0,false,1
600,600,23.0,true,0
173,173,451.0,false,2
601,601,23.0,true,0
603,603,23.0,true,0
605,605,23.0,true,0
607,607,23.0,true,0
612,612,23.0,true,0
172,172,464.0,false,1
613,613,23.0,true,0
174,174,464.0,false,2
619,619,23.0,true,0
620,620,23.0,true,0
621,621,23.0,true,0
625,625,23.0,true,0
182,182,468.0,false,1
627,627,23.0,true,0
628,628,23.0,true,0
176,176,476.0,false,2
629,629,23.0,true,0
631,631,23.0,true,0
633,633,23.0,true,0
634,634,23.0,true,0
636,636,23.0,true,0
183,183,481.0,false,1
641,641,23.0,true,0
185,185,481.0,false,2
643,643,23.0,true,0
646,646,23.0,true,0
647,647,23.0,true,0
649,649,23.0,true,0
650,650,23.0,true,0
651,651,23.0,true,0
652,652,23.0,true,0
186,186,492.0,false,1
655,655,23.0,true,0
187,187,493.0,false,2
657,657,23.0,true,0
658,658,23.0,true,0
662,662,23.0,true,0
663,663,23.0,true,0
664,664,23.0,true,0
192,192,500.0,false,1
670,670,23.0,true,0
190,190,504.0,false,2
675,675,23.0,true,0
677,677,23.0,true,0
678,678,23.0,true,0
682,682,23.0,true,0
193,193,513.0,false,1
683,683,23.0,true,0
194,194,514.0,false,2
685,685,23.0,true,0
688,688,23.0,true,0
689,689,23.0,true,0
690,690,23.0,true,0
692,692,23.0,true,0
693,693,23.0,true,0
694,694,23.0,true,0
199,199,521.0,false,1
698,698,23.0,true,0
196,196,526.0,false,2
701,701,23.0,true,0
702,702,23.0,true,0
703,703,23.0,true,0
704,704,23.0,true,0
708,708,23.0,true,0
200,200,534.0,false,1
202,202,534.0,false,2
715,715,23.0,true,0
718,718,23.0,true,0
720,720,23.0,true,0
722,722,23.0,true,0
724,724,23.0,true,0
204,204,544.0,false,1
725,725,23.0,true,0
203,203,547.0,false,2
727,727,23.0,true,0
730,730,23.0,true,0
733,733,23.0,true,0
737,737,23.0,true,0
205,205,557.0,false,1
740,740,23.0,true,0
207,207,557.0,false,2
742,742,23.0,true,0
743,743,23.0,true,0
744,744,23.0,true,0
745,745,23.0,true,0
748,748,23.0,true,0
749,749,23.0,true,0
