CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
20587,82948,18.0,true,0
20569,82898,71.0,false,1
20558,82852,118.0,false,2
20570,82907,76.0,false,1
20575,82921,63.0,false,2
20592,82966,18.0,true,0
20593,82968,18.0,true,0
20571,82911,86.0,false,1
20576,82924,74.0,false,2
20595,82983,18.0,true,0
20588,82949,62.0,false,1
20578,82928,84.0,false,2
20597,82996,18.0,true,0
20590,82954,71.0,false,1
20579,82934,92.0,false,2
20601,83009,18.0,true,0
20603,83018,18.0,true,0
20591,82965,74.0,false,1
20581,82936,104.0,false,2
20604,83023,18.0,true,0
20594,82980,73.0,false,1
20582,82938,116.0,false,2
20607,83042,18.0,true,0
20609,83047,18.0,true,0
20596,82988,79.0,false,1
20583,82940,128.0,false,2
20614,83058,18.0,true,0
20615,83059,18.0,true,0
20598,82997,84.0,false,1
20584,82942,140.0,false,2
20616,83064,18.0,true,0
20618,83073,18.0,true,0
20599,82999,96.0,false,1
20589,82950,146.0,false,2
20621,83090,18.0,true,0
20600,83000,109.0,false,1
20605,83027,83.0,false,2
20625,83103,18.0,true,0
20602,83010,113.0,false,1
20606,83030,94.0,false,2
20626,83109,18.0,true,0
20628,83113,18.0,true,0
20617,83072,65.0,false,1
20608,83044,94.0,false,2
20631,83124,18.0,true,0
20632,83125,18.0,true,0
20619,83074,77.0,false,1
20610,83049,103.0,false,2
20633,83134,18.0,true,0
20634,83142,18.0,true,0
20636,83144,18.0,true,0
20620,83077,88.0,false,1
20611,83050,116.0,false,2
20637,83149,18.0,true,0
20640,83154,18.0,true,0
20622,83096,83.0,false,1
20612,83053,127.0,false,2
20642,83167,18.0,true,0
20623,83097,96.0,false,1
20644,83175,18.0,true,0
20613,83055,139.0,false,2
20646,83179,18.0,true,0
20649,83188,18.0,true,0
20624,83101,106.0,false,1
20650,83189,18.0,true,0
20635,83143,65.0,false,2
20652,83195,18.0,true,0
20627,83111,110.0,false,1
20638,83151,71.0,false,2
20656,83216,18.0,true,0
20629,83117,118.0,false,1
20657,83217,18.0,true,0
20639,83152,84.0,false,2
20660,83229,18.0,true,0
20630,83118,131.0,false,1
20641,83165,85.0,false,2
20661,83236,18.0,true,0
20653,83201,62.0,false,1
20662,83245,18.0,true,0
20643,83170,94.0,false,2
20664,83255,18.0,true,0
20654,83210,67.0,false,1
20645,83176,102.0,false,2
20655,83213,78.0,false,1
20647,83181,111.0,false,2
20670,83277,18.0,true,0
20672,83284,18.0,true,0
20658,83218,87.0,false,1
20648,83187,119.0,false,2
20674,83290,18.0,true,0
20676,83294,18.0,true,0
20682,83300,18.0,true,0
20659,83226,93.0,false,1
20651,83192,128.0,false,2
20684,83305,18.0,true,0
20687,83313,18.0,true,0
20663,83248,85.0,false,1
20667,83271,63.0,false,2
20688,83316,18.0,true,0
20689,83318,18.0,true,0
20691,83324,18.0,true,0
20665,83265,82.0,false,1
20668,83273,75.0,false,2
20692,83330,18.0,true,0
20695,83338,18.0,true,0
20696,83339,18.0,true,0
20666,83267,94.0,false,1
20697,83343,18.0,true,0
20669,83276,86.0,false,2
20698,83346,18.0,true,0
20683,83304,71.0,false,1
20671,83278,98.0,false,2
20702,83360,18.0,true,0
20704,83366,18.0,true,0
20685,83309,80.0,false,1
20706,83371,18.0,true,0
20673,83285,105.0,false,2
20707,83373,18.0,true,0
