CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
744,2872.0,11.0,26.0,44.0,false,2
755,2899.0,0.0,0.0,18.0,true,0
741,2865.0,11.0,37.0,55.0,false,1
757,2908.0,0.0,0.0,18.0,true,0
746,2874.0,11.0,38.0,56.0,false,2
758,2914.0,0.0,0.0,18.0,true,0
742,2867.0,11.0,49.0,67.0,false,1
748,2879.0,11.0,47.0,65.0,false,2
754,2896.0,11.0,34.0,52.0,false,1
749,2880.0,11.0,60.0,78.0,false,2
756,2904.0,11.0,40.0,58.0,false,1
767,2952.0,0.0,0.0,18.0,true,0
750,2881.0,11.0,73.0,91.0,false,2
768,2955.0,0.0,0.0,18.0,true,0
769,2957.0,0.0,0.0,18.0,true,0
759,2924.0,11.0,34.0,52.0,false,1
751,2883.0,11.0,85.0,103.0,false,2
760,2925.0,11.0,47.0,65.0,false,1
773,2981.0,0.0,0.0,18.0,true,0
762,2939.0,11.0,43.0,61.0,false,2
761,2935.0,11.0,51.0,69.0,false,1
774,2988.0,0.0,0.0,18.0,true,0
775,2994.0,0.0,0.0,18.0,true,0
763,2941.0,11.0,55.0,73.0,false,2
777,2996.0,0.0,0.0,18.0,true,0
778,2998.0,0.0,0.0,18.0,true,0
766,2951.0,11.0,49.0,67.0,false,1
781,3002.0,0.0,0.0,18.0,true,0
782,3006.0,0.0,0.0,18.0,true,0
783,3008.0,0.0,0.0,18.0,true,0
784,3009.0,0.0,0.0,18.0,true,0
764,2943.0,11.0,67.0,85.0,false,2
770,2959.0,11.0,55.0,73.0,false,1
786,3015.0,0.0,0.0,18.0,true,0
765,2950.0,11.0,74.0,92.0,false,2
771,2960.0,11.0,68.0,86.0,false,1
789,3031.0,0.0,0.0,18.0,true,0
790,3032.0,0.0,0.0,18.0,true,0
791,3033.0,0.0,0.0,18.0,true,0
792,3036.0,0.0,0.0,18.0,true,0
776,2995.0,11.0,43.0,61.0,false,2
794,3038.0,0.0,0.0,18.0,true,0
796,3041.0,0.0,0.0,18.0,true,0
772,2961.0,11.0,81.0,99.0,false,1
798,3043.0,0.0,0.0,18.0,true,0
779,2999.0,11.0,53.0,71.0,false,2
787,3016.0,11.0,40.0,58.0,false,1
780,3001.0,11.0,65.0,83.0,false,2
788,3024.0,11.0,46.0,64.0,false,1
799,3075.0,0.0,0.0,18.0,true,0
785,3011.0,11.0,69.0,87.0,false,2
793,3037.0,11.0,47.0,65.0,false,1
797,3042.0,11.0,52.0,70.0,false,2
795,3040.0,11.0,58.0,76.0,false,1
807,3104.0,0.0,0.0,18.0,true,0
809,3107.0,0.0,0.0,18.0,true,0
800,3076.0,11.0,32.0,50.0,false,2
811,3109.0,0.0,0.0,18.0,true,0
803,3088.0,11.0,26.0,44.0,false,1
814,3118.0,0.0,0.0,18.0,true,0
801,3083.0,11.0,39.0,57.0,false,2
815,3125.0,0.0,0.0,18.0,true,0
804,3089.0,11.0,39.0,57.0,false,1
817,3132.0,0.0,0.0,18.0,true,0
818,3133.0,0.0,0.0,18.0,true,0
802,3085.0,11.0,51.0,69.0,false,2
805,3093.0,11.0,49.0,67.0,false,1
821,3146.0,0.0,0.0,18.0,true,0
808,3105.0,11.0,45.0,63.0,false,2
806,3099.0,11.0,57.0,75.0,false,1
822,3163.0,0.0,0.0,18.0,true,0
812,3114.0,11.0,50.0,68.0,false,2
823,3165.0,0.0,0.0,18.0,true,0
810,3108.0,11.0,62.0,80.0,false,1
816,3130.0,11.0,48.0,66.0,false,2
827,3181.0,0.0,0.0,18.0,true,0
813,3117.0,11.0,67.0,85.0,false,1
829,3187.0,0.0,0.0,18.0,true,0
830,3188.0,0.0,0.0,18.0,true,0
831,3189.0,0.0,0.0,18.0,true,0
832,3191.0,0.0,0.0,18.0,true,0
819,3134.0,11.0,58.0,76.0,false,2
833,3192.0,0.0,0.0,18.0,true,0
834,3193.0,0.0,0.0,18.0,true,0
835,3195.0,0.0,0.0,18.0,true,0
824,3166.0,11.0,32.0,50.0,false,1
