CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
0,0,23.0,true,0
1,1,23.0,true,0
4,4,23.0,true,0
5,5,23.0,true,0
6,6,23.0,true,0
7,7,23.0,true,0
8,8,23.0,true,0
9,9,23.0,true,0
10,10,23.0,true,0
11,11,23.0,true,0
2,2,33.0,false,1
13,13,23.0,true,0
16,16,23.0,true,0
17,17,23.0,true,0
18,18,23.0,true,0
20,20,23.0,true,0
21,21,23.0,true,0
23,23,23.0,true,0
3,3,46.0,false,1
26,26,23.0,true,0
27,27,23.0,true,0
29,29,23.0,true,0
30,30,23.0,true,0
31,31,23.0,true,0
32,32,23.0,true,0
34,34,23.0,true,0
36,36,23.0,true,0
37,37,23.0,true,0
38,38,23.0,true,0
39,39,23.0,true,0
12,12,51.0,false,1
40,40,23.0,true,0
41,41,23.0,true,0
45,45,23.0,true,0
46,46,23.0,true,0
47,47,23.0,true,0
52,52,23.0,true,0
53,53,23.0,true,0
14,14,63.0,false,1
55,55,23.0,true,0
56,56,23.0,true,0
57,57,23.0,true,0
59,59,23.0,true,0
62,62,23.0,true,0
64,64,23.0,true,0
66,66,23.0,true,0
15,15,76.0,false,1
69,69,23.0,true,0
74,74,23.0,true,0
75,75,23.0,true,0
76,76,23.0,true,0
77,77,23.0,true,0
78,78,23.0,true,0
80,80,23.0,true,0
19,19,86.0,false,1
83,83,23.0,true,0
85,85,23.0,true,0
86,86,23.0,true,0
88,88,23.0,true,0
90,90,23.0,true,0
91,91,23.0,true,0
95,95,23.0,true,0
22,22,97.0,false,1
96,96,23.0,true,0
97,97,23.0,true,0
98,98,23.0,true,0
101,101,23.0,true,0
102,102,23.0,true,0
103,103,23.0,true,0
104,104,23.0,true,0
107,107,23.0,true,0
24,24,109.0,false,1
110,110,23.0,true,0
113,113,23.0,true,0
114,114,23.0,true,0
118,118,23.0,true,0
120,120,23.0,true,0
121,121,23.0,true,0
122,122,23.0,true,0
25,25,122.0,false,1
125,125,23.0,true,0
127,127,23.0,true,0
128,128,23.0,true,0
129,129,23.0,true,0
131,131,23.0,true,0
132,132,23.0,true,0
133,133,23.0,true,0
134,134,23.0,true,0
135,135,23.0,true,0
136,136,23.0,true,0
28,28,133.0,false,1
139,139,23.0,true,0
147,147,23.0,true,0
149,149,23.0,true,0
150,150,23.0,true,0
151,151,23.0,true,0
33,33,142.0,false,1
154,154,23.0,true,0
156,156,23.0,true,0
157,157,23.0,true,0
160,160,23.0,true,0
162,162,23.0,true,0
35,35,154.0,false,1
166,166,23.0,true,0
169,169,23.0,true,0
173,173,23.0,true,0
176,176,23.0,true,0
179,179,23.0,true,0
42,42,161.0,false,1
181,181,23.0,true,0
182,182,23.0,true,0
185,185,23.0,true,0
186,186,23.0,true,0
190,190,23.0,true,0
