CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
0,1.1474145375836777,1.0,0.0,0.0,14.0,true,0,0
1,1.207738597400513,9.0,0.0,0.0,14.0,true,0,0
4,1.041474630560512,21.0,0.0,0.0,16.0,true,0,0
5,0.8977364537082003,23.0,0.0,0.0,18.0,true,0,0
6,0.9918229458458478,26.0,0.0,0.0,16.0,true,0,0
8,0.8776395845515044,31.0,0.0,0.0,18.0,true,0,0
2,1.090454875331876,12.0,9.0,24.0,38.0,false,1,1
9,0.9803775293112739,35.0,0.0,0.0,17.0,true,0,0
10,1.014992598641981,42.0,0.0,0.0,16.0,true,0,0
11,1.0281955681718802,47.0,0.0,0.0,16.0,true,0,0
3,1.0950614890797101,20.0,9.0,30.0,44.0,false,1,1
7,1.001611355509116,27.0,10.0,25.0,40.0,false,2,2
13,0.9225343344793628,64.0,0.0,0.0,18.0,true,0,0
14,0.936447604660988,66.0,0.0,0.0,17.0,true,0,0
16,1.1568628747445788,79.0,0.0,0.0,14.0,true,0,0
12,1.1514754185989906,60.0,9.0,24.0,39.0,false,2,1
15,0.7220609743394034,67.0,14.0,29.0,48.0,false,1,1
22,0.8923500276852669,102.0,0.0,0.0,18.0,true,0,0
23,0.8906335368573619,103.0,0.0,0.0,18.0,true,0,0
18,0.9860165803411226,82.0,10.0,25.0,41.0,false,2,1
17,1.1554254087535538,80.0,9.0,30.0,44.0,false,1,1
24,0.9150369411678488,107.0,0.0,0.0,18.0,true,0,0
25,0.9052415290776631,109.0,0.0,0.0,18.0,true,0,0
26,0.989232545404422,111.0,0.0,0.0,16.0,true,0,0
28,1.0052067041575679,115.0,0.0,0.0,16.0,true,0,0
19,0.8884278097980233,84.0,11.0,37.0,54.0,false,2,1
32,1.1182893481246667,126.0,0.0,0.0,15.0,true,0,0
33,0.955659166145835,130.0,0.0,0.0,17.0,true,0,0
20,1.0268561141667405,88.0,10.0,47.0,63.0,false,2,1
27,1.0431844439935118,113.0,10.0,25.0,40.0,false,1,1
21,1.098780278345422,94.0,9.0,55.0,70.0,false,2,1
29,0.9238089794820117,119.0,11.0,33.0,49.0,false,1,1
35,1.0337702264290833,154.0,0.0,0.0,16.0,true,0,0
30,1.1710758485359047,122.0,8.0,44.0,58.0,false,1,1
34,1.1221562695021163,147.0,9.0,24.0,39.0,false,2,1
31,0.9855811067603062,123.0,10.0,57.0,72.0,false,1,1
37,0.9755255416785276,181.0,0.0,0.0,17.0,true,0,0
39,1.1046993883219052,194.0,0.0,0.0,15.0,true,0,0
36,0.9219727542386449,169.0,11.0,26.0,43.0,false,2,1
41,0.9787914468615291,203.0,0.0,0.0,17.0,true,0,0
42,0.8946778098688782,207.0,0.0,0.0,18.0,true,0,0
38,1.0544341742117418,188.0,9.0,24.0,39.0,false,1,1
40,1.010777950974876,197.0,10.0,25.0,41.0,false,2,1
