CAR_NUMBER,AGGRESSIVENESS,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
0,1.0193518958725774,4.0,0.0,0.0,16.0,true,0,0
1,0.8939137441687988,7.0,0.0,0.0,18.0,true,0,0
3,1.1084700057397212,24.0,0.0,0.0,15.0,true,0,0
4,1.097928095684631,27.0,0.0,0.0,15.0,true,0,0
5,0.7933043864275178,29.0,0.0,0.0,20.0,true,0,0
9,0.9841042233808341,38.0,0.0,0.0,16.0,true,0,0
2,0.9025523568711145,19.0,11.0,26.0,43.0,false,2,1
12,0.9024392267679712,51.0,0.0,0.0,18.0,true,0,0
6,0.9751040092534647,33.0,10.0,25.0,40.0,false,1,1
14,0.9204789907242068,58.0,0.0,0.0,18.0,true,0,0
7,0.9039113583936553,34.0,11.0,38.0,54.0,false,1,1
16,0.896347302555219,71.0,0.0,0.0,18.0,true,0,0
17,0.9208912763307321,76.0,0.0,0.0,18.0,true,0,0
13,0.9080545361743597,57.0,11.0,26.0,43.0,false,2,1
19,0.8288912463723819,81.0,0.0,0.0,19.0,true,0,0
8,0.9290989882669055,36.0,11.0,50.0,66.0,false,1,1
20,0.8938166799134958,88.0,0.0,0.0,18.0,true,0,0
15,0.8912398012022409,70.0,11.0,27.0,44.0,false,2,1
10,0.88663768957538,43.0,11.0,57.0,73.0,false,1,1
23,1.0690638829361174,105.0,0.0,0.0,15.0,true,0,0
18,0.8962197960279279,77.0,11.0,34.0,51.0,false,2,1
25,0.9575530246061191,110.0,0.0,0.0,17.0,true,0,0
11,0.807321925551126,44.0,12.0,70.0,87.0,false,1,1
28,1.0560265472673291,121.0,0.0,0.0,15.0,true,0,0
21,0.973733121646634,92.0,10.0,33.0,49.0,false,2,1
24,1.1239402578916873,106.0,9.0,24.0,38.0,false,1,1
29,1.0070471708560398,137.0,0.0,0.0,16.0,true,0,0
22,1.0385717879825558,95.0,10.0,44.0,60.0,false,2,1
31,1.0696559813560094,142.0,0.0,0.0,15.0,true,0,0
26,0.905644776935622,115.0,11.0,29.0,45.0,false,1,1
33,1.0365065973482757,148.0,0.0,0.0,16.0,true,0,0
27,1.079019634720324,118.0,9.0,40.0,54.0,false,1,1
30,0.9329291504441517,141.0,11.0,26.0,43.0,false,2,1
37,1.1221802858068206,168.0,0.0,0.0,15.0,true,0,0
38,1.0188742163525388,169.0,0.0,0.0,16.0,true,0,0
34,0.9788943401643119,153.0,10.0,25.0,40.0,false,1,1
32,1.2048265329361967,144.0,8.0,37.0,52.0,false,2,1
41,0.9257018886414347,189.0,0.0,0.0,17.0,true,0,0
43,1.0833633073490327,191.0,0.0,0.0,15.0,true,0,0
44,1.200411079124207,192.0,0.0,0.0,14.0,true,0,0
35,0.8125938776452795,160.0,12.0,32.0,49.0,false,1,1
45,0.9130850316953973,198.0,0.0,0.0,18.0,true,0,0
39,1.1260552256429692,180.0,9.0,24.0,38.0,false,2,2
47,1.131296364267574,205.0,0.0,0.0,14.0,true,0,0
36,0.9163788984771252,167.0,11.0,39.0,55.0,false,1,1
48,1.045366135770071,211.0,0.0,0.0,16.0,true,0,0
49,0.9083198470473933,212.0,0.0,0.0,18.0,true,0,0
40,1.2256932887811693,181.0,8.0,37.0,51.0,false,2,1
46,0.9190917148102501,199.0,11.0,26.0,42.0,false,1,1
42,0.8885712674424184,190.0,11.0,42.0,59.0,false,2,1
53,0.9592964193533123,235.0,0.0,0.0,17.0,true,0,0
54,0.9793945150077146,236.0,0.0,0.0,17.0,true,0,0
50,1.048588194771096,218.0,10.0,25.0,40.0,false,1,1
51,1.116843302437471,223.0,9.0,24.0,39.0,false,2,1
52,0.9700113921896045,230.0,10.0,31.0,47.0,false,2,1
55,1.2059699103901078,243.0,8.0,23.0,37.0,false,1,1
59,0.873775678472195,262.0,0.0,0.0,19.0,true,0,0
61,0.9748422344035105,268.0,0.0,0.0,17.0,true,0,0
62,1.0309693342076054,277.0,0.0,0.0,16.0,true,0,0
56,0.9427665482321649,254.0,11.0,26.0,42.0,false,1,1
