CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
1,0,23.0,true,0
2,0,23.0,true,0
3,1,23.0,true,0
5,1,23.0,true,0
7,2,23.0,true,0
8,2,23.0,true,0
13,4,23.0,true,0
14,4,23.0,true,0
15,5,23.0,true,0
17,5,23.0,true,0
18,5,23.0,true,0
19,6,23.0,true,0
20,6,23.0,true,0
21,7,23.0,true,0
25,8,23.0,true,0
27,9,23.0,true,0
28,10,23.0,true,0
29,10,23.0,true,0
31,11,23.0,true,0
34,12,23.0,true,0
39,14,23.0,true,0
40,14,23.0,true,0
42,15,23.0,true,0
43,16,23.0,true,0
44,16,23.0,true,0
51,18,23.0,true,0
52,18,23.0,true,0
53,18,23.0,true,0
54,19,23.0,true,0
56,20,23.0,true,0
57,20,23.0,true,0
60,21,23.0,true,0
61,22,23.0,true,0
64,23,23.0,true,0
67,24,23.0,true,0
69,25,23.0,true,0
74,26,23.0,true,0
76,27,23.0,true,0
77,27,23.0,true,0
78,27,23.0,true,0
79,28,23.0,true,0
82,29,23.0,true,0
84,29,23.0,true,0
87,30,23.0,true,0
88,30,23.0,true,0
89,31,23.0,true,0
91,31,23.0,true,0
0,0,55.0,false,1
93,32,23.0,true,0
96,33,23.0,true,0
97,33,23.0,true,0
98,34,23.0,true,0
101,34,23.0,true,0
9,3,55.0,false,2
104,35,23.0,true,0
106,35,23.0,true,0
107,35,23.0,true,0
108,36,23.0,true,0
109,36,23.0,true,0
110,37,23.0,true,0
111,37,23.0,true,0
117,39,23.0,true,0
119,39,23.0,true,0
120,39,23.0,true,0
121,40,23.0,true,0
123,41,23.0,true,0
124,41,23.0,true,0
126,42,23.0,true,0
127,42,23.0,true,0
128,42,23.0,true,0
129,42,23.0,true,0
130,42,23.0,true,0
131,42,23.0,true,0
134,44,23.0,true,0
135,44,23.0,true,0
136,45,23.0,true,0
137,45,23.0,true,0
138,45,23.0,true,0
4,1,68.0,false,1
141,46,23.0,true,0
142,46,23.0,true,0
143,47,23.0,true,0
145,48,23.0,true,0
146,48,23.0,true,0
10,3,69.0,false,2
147,49,23.0,true,0
149,49,23.0,true,0
150,49,23.0,true,0
151,49,23.0,true,0
152,50,23.0,true,0
154,51,23.0,true,0
157,52,23.0,true,0
158,53,23.0,true,0
159,53,23.0,true,0
160,54,23.0,true,0
163,54,23.0,true,0
164,55,23.0,true,0
165,55,23.0,true,0
166,55,23.0,true,0
167,56,23.0,true,0
171,58,23.0,true,0
173,58,23.0,true,0
174,58,23.0,true,0
175,58,23.0,true,0
177,59,23.0,true,0
178,59,23.0,true,0
6,2,81.0,false,1
179,60,23.0,true,0
180,60,23.0,true,0
181,61,23.0,true,0
185,62,23.0,true,0
12,3,83.0,false,2
187,63,23.0,true,0
188,64,23.0,true,0
189,64,23.0,true,0
191,65,23.0,true,0
193,66,23.0,true,0
199,68,23.0,true,0
200,68,23.0,true,0
201,69,23.0,true,0
203,70,23.0,true,0
210,72,23.0,true,0
11,3,94.0,false,1
213,74,23.0,true,0
216,75,23.0,true,0
218,76,23.0,true,0
219,76,23.0,true,0
23,8,92.0,false,2
223,78,23.0,true,0
224,79,23.0,true,0
226,80,23.0,true,0
231,82,23.0,true,0
232,83,23.0,true,0
233,83,23.0,true,0
236,84,23.0,true,0
238,85,23.0,true,0
239,85,23.0,true,0
241,85,23.0,true,0
242,85,23.0,true,0
243,86,23.0,true,0
244,86,23.0,true,0
245,86,23.0,true,0
246,87,23.0,true,0
247,87,23.0,true,0
16,5,106.0,false,1
249,88,23.0,true,0
256,90,23.0,true,0
24,8,106.0,false,2
257,91,23.0,true,0
258,91,23.0,true,0
259,92,23.0,true,0
264,94,23.0,true,0
266,95,23.0,true,0
267,95,23.0,true,0
268,95,23.0,true,0
272,97,23.0,true,0
273,98,23.0,true,0
274,98,23.0,true,0
275,99,23.0,true,0
276,99,23.0,true,0
277,100,23.0,true,0
279,101,23.0,true,0
280,101,23.0,true,0
281,101,23.0,true,0
282,101,23.0,true,0
22,7,118.0,false,1
284,102,23.0,true,0
287,104,23.0,true,0
289,104,23.0,true,0
26,9,119.0,false,2
291,105,23.0,true,0
