CAR_NUMBER,START_TIME,ENTER_QUEUE_TIME,LEAVE_TOLL_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED,FINAL_LANE
142,590.0,0.0,0.0,18.0,true,0,0
136,564.0,11.0,27.0,45.0,false,2,1
143,592.0,0.0,0.0,18.0,true,0,0
145,599.0,0.0,0.0,18.0,true,0,0
140,579.0,11.0,26.0,44.0,false,1,1
148,615.0,0.0,0.0,18.0,true,0,0
141,584.0,11.0,35.0,53.0,false,1,1
144,593.0,11.0,26.0,44.0,false,2,2
149,627.0,0.0,0.0,18.0,true,0,0
150,628.0,0.0,0.0,18.0,true,0,0
146,602.0,11.0,31.0,49.0,false,2,1
147,613.0,11.0,26.0,44.0,false,1,1
152,641.0,0.0,0.0,18.0,true,0,0
153,646.0,0.0,0.0,18.0,true,0,0
154,648.0,0.0,0.0,18.0,true,0,0
151,629.0,11.0,26.0,44.0,false,2,2
160,667.0,0.0,0.0,18.0,true,0,0
162,670.0,0.0,0.0,18.0,true,0,0
164,675.0,0.0,0.0,18.0,true,0,0
165,676.0,0.0,0.0,18.0,true,0,0
155,652.0,11.0,26.0,44.0,false,1,1
156,656.0,11.0,26.0,44.0,false,2,1
158,662.0,11.0,30.0,48.0,false,1,1
168,692.0,0.0,0.0,18.0,true,0,0
157,659.0,11.0,37.0,55.0,false,2,1
163,673.0,11.0,33.0,51.0,false,1,1
170,708.0,0.0,0.0,18.0,true,0,0
159,664.0,11.0,46.0,64.0,false,2,1
166,677.0,11.0,43.0,61.0,false,1,1
161,669.0,11.0,55.0,73.0,false,2,1
176,724.0,0.0,0.0,18.0,true,0,0
167,683.0,11.0,51.0,69.0,false,1,1
169,707.0,11.0,31.0,49.0,false,2,1
171,710.0,11.0,38.0,56.0,false,1,1
172,713.0,11.0,39.0,57.0,false,2,1
187,759.0,0.0,0.0,18.0,true,0,0
188,760.0,0.0,0.0,18.0,true,0,0
177,728.0,11.0,34.0,52.0,false,1,1
189,762.0,0.0,0.0,18.0,true,0,0
173,715.0,11.0,51.0,69.0,false,2,1
191,766.0,0.0,0.0,18.0,true,0,0
193,773.0,0.0,0.0,18.0,true,0,0
194,774.0,0.0,0.0,18.0,true,0,0
178,733.0,11.0,43.0,61.0,false,1,1
195,779.0,0.0,0.0,18.0,true,0,0
174,717.0,11.0,63.0,81.0,false,2,1
196,785.0,0.0,0.0,18.0,true,0,0
179,740.0,11.0,50.0,68.0,false,1,1
198,792.0,0.0,0.0,18.0,true,0,0
175,719.0,11.0,75.0,93.0,false,2,1
180,746.0,11.0,58.0,76.0,false,1,1
190,763.0,11.0,45.0,63.0,false,2,1
204,816.0,0.0,0.0,18.0,true,0,0
181,748.0,11.0,70.0,88.0,false,1,1
206,819.0,0.0,0.0,18.0,true,0,0
192,769.0,11.0,53.0,71.0,false,2,1
207,822.0,0.0,0.0,18.0,true,0,0
208,828.0,0.0,0.0,18.0,true,0,0
182,750.0,11.0,82.0,100.0,false,1,1
197,790.0,11.0,46.0,64.0,false,2,1
210,836.0,0.0,0.0,18.0,true,0,0
211,839.0,0.0,0.0,18.0,true,0,0
183,751.0,11.0,95.0,113.0,false,1,1
199,793.0,11.0,57.0,75.0,false,2,1
215,858.0,0.0,0.0,18.0,true,0,0
184,752.0,11.0,108.0,126.0,false,1,1
200,798.0,11.0,66.0,84.0,false,2,1
217,865.0,0.0,0.0,18.0,true,0,0
185,753.0,11.0,121.0,139.0,false,1,1
221,875.0,0.0,0.0,18.0,true,0,0
201,800.0,11.0,78.0,96.0,false,2,1
222,878.0,0.0,0.0,18.0,true,0,0
224,887.0,0.0,0.0,18.0,true,0,0
186,755.0,11.0,133.0,151.0,false,1,1
227,890.0,0.0,0.0,18.0,true,0,0
202,807.0,11.0,85.0,103.0,false,2,1
228,892.0,0.0,0.0,18.0,true,0,0
229,893.0,0.0,0.0,18.0,true,0,0
230,895.0,0.0,0.0,18.0,true,0,0
209,835.0,11.0,67.0,85.0,false,1,1
232,904.0,0.0,0.0,18.0,true,0,0
203,810.0,11.0,96.0,114.0,false,2,1
233,911.0,0.0,0.0,18.0,true,0,0
234,912.0,0.0,0.0,18.0,true,0,0
212,846.0,11.0,70.0,88.0,false,1,1
205,817.0,11.0,103.0,121.0,false,2,1
238,922.0,0.0,0.0,18.0,true,0,0
213,847.0,11.0,83.0,101.0,false,1,1
239,933.0,0.0,0.0,18.0,true,0,0
216,860.0,11.0,74.0,92.0,false,2,1
241,936.0,0.0,0.0,18.0,true,0,0
244,943.0,0.0,0.0,18.0,true,0,0
214,850.0,11.0,94.0,112.0,false,1,1
245,945.0,0.0,0.0,18.0,true,0,0
218,866.0,11.0,82.0,100.0,false,2,1
247,948.0,0.0,0.0,18.0,true,0,0
248,950.0,0.0,0.0,18.0,true,0,0
223,885.0,11.0,73.0,91.0,false,1,1
219,871.0,11.0,91.0,109.0,false,2,1
250,962.0,0.0,0.0,18.0,true,0,0
225,888.0,11.0,84.0,102.0,false,1,1
220,872.0,11.0,104.0,122.0,false,2,1
256,981.0,0.0,0.0,18.0,true,0,0
