CAR_NUMBER,START_TIME,TOTAL_TIME,HAS_EZ_PASS,BOOTH_SELECTED
0,2,48.0,false,1
5,40,18.0,true,0
9,52,18.0,true,0
1,25,48.0,false,2
2,31,56.0,false,2
14,74,18.0,true,0
6,45,48.0,false,1
3,34,67.0,false,2
17,88,18.0,true,0
8,50,57.0,false,1
4,35,80.0,false,2
23,102,18.0,true,0
10,57,64.0,false,1
24,104,18.0,true,0
7,46,83.0,false,2
27,113,18.0,true,0
11,61,74.0,false,1
16,85,58.0,false,2
30,126,18.0,true,0
12,64,85.0,false,1
32,138,18.0,true,0
18,94,63.0,false,2
33,142,18.0,true,0
13,67,96.0,false,1
19,96,75.0,false,2
37,156,18.0,true,0
15,77,100.0,false,1
20,98,87.0,false,2
28,122,69.0,false,1
38,177,18.0,true,0
21,99,100.0,false,2
29,125,80.0,false,1
22,101,112.0,false,2
40,195,18.0,true,0
41,197,18.0,true,0
42,200,18.0,true,0
31,130,89.0,false,1
43,203,18.0,true,0
25,109,118.0,false,2
34,143,90.0,false,1
26,112,129.0,false,2
50,228,18.0,true,0
35,146,101.0,false,1
51,230,18.0,true,0
39,193,62.0,false,2
36,148,113.0,false,1
44,205,64.0,false,2
49,226,49.0,false,1
45,207,76.0,false,2
56,266,18.0,true,0
57,268,18.0,true,0
58,270,18.0,true,0
52,234,55.0,false,1
46,213,84.0,false,2
53,244,59.0,false,1
47,221,90.0,false,2
62,296,18.0,true,0
54,248,69.0,false,1
48,223,102.0,false,2
55,259,72.0,false,1
69,316,18.0,true,0
70,320,18.0,true,0
59,283,56.0,false,2
71,322,18.0,true,0
60,290,63.0,false,2
73,338,18.0,true,0
67,309,48.0,false,1
75,346,18.0,true,0
61,291,76.0,false,2
68,314,57.0,false,1
63,298,83.0,false,2
72,330,55.0,false,1
82,370,18.0,true,0
64,299,96.0,false,2
85,378,18.0,true,0
74,341,58.0,false,1
65,301,108.0,false,2
86,392,18.0,true,0
76,349,64.0,false,1
87,403,18.0,true,0
88,404,18.0,true,0
66,305,118.0,false,2
77,352,75.0,false,1
89,416,18.0,true,0
90,417,18.0,true,0
83,372,65.0,false,2
78,357,84.0,false,1
91,431,18.0,true,0
84,374,77.0,false,2
92,436,18.0,true,0
79,358,97.0,false,1
95,450,18.0,true,0
80,360,109.0,false,1
98,461,18.0,true,0
100,464,18.0,true,0
81,361,122.0,false,1
101,467,18.0,true,0
93,438,48.0,false,2
94,443,57.0,false,2
104,487,18.0,true,0
105,489,18.0,true,0
96,453,61.0,false,2
108,499,18.0,true,0
110,502,18.0,true,0
97,460,68.0,false,2
102,482,48.0,false,1
99,463,79.0,false,2
103,483,61.0,false,1
115,531,18.0,true,0
106,492,66.0,false,1
119,544,18.0,true,0
120,545,18.0,true,0
121,549,18.0,true,0
123,551,18.0,true,0
107,493,79.0,false,1
113,526,48.0,false,2
109,501,85.0,false,1
126,568,18.0,true,0
114,527,61.0,false,2
129,574,18.0,true,0
130,575,18.0,true,0
111,505,95.0,false,1
